,fips,area,pvote,respn,nccs,assn,sk,pc1,year
0,1001,"Autauga, AL",0.58,0.63,2.878653675819309,1.1876962718415331,-0.7180734636141869,-0.7181858377566555,2005
1,1003,"Baldwin, AL",0.57,0.54,3.6255341188657257,1.276335990825179,-0.8686748170640813,-0.8690185457914426,2005
2,1005,"Barbour, AL",0.5,0.54,3.8891069326007064,0.9276768830056731,-1.4866061435904518,-1.486880358573098,2005
3,1007,"Bibb, AL",0.47,0.54,2.585972234824426,1.315670084384357,-1.5401705424978887,-1.5404787068435366,2005
4,1009,"Blount, AL",0.52,0.63,1.958845928529584,0.8787346221441125,-1.431489153410336,-1.4313432753986546,2005
5,1011,"Bullock, AL",0.56,0.49,3.360276087548815,0.8173644537280902,-1.4858298479541123,-1.4860253508331047,2005
6,1013,"Butler, AL",0.54,0.61,4.464714354296688,1.632261161785886,-0.40134484398760506,-0.40105031324398915,2005
7,1015,"Calhoun, AL",0.53,0.58,4.079422067314832,1.519955973689038,-0.6978897770693557,-0.697724828567436,2005
8,1017,"Chambers, AL",0.48,0.6,2.9479293630771846,1.8424558519232404,-0.8236496701563809,-0.8233586523489456,2005
9,1019,"Cherokee, AL",0.47,0.5,2.3171267628141106,0.9188606128400784,-2.023026428301158,-2.02288213950342,2005
10,1021,"Chilton, AL",0.54,0.56,2.3840175463691415,1.3588900014304106,-1.093800551602583,-1.0939435765913506,2005
11,1023,"Choctaw, AL",0.63,0.55,4.606393949810932,1.3750429700928155,-0.28257161162763683,-0.28272572814715374,2005
12,1025,"Clarke, AL",0.57,0.56,3.923180391570767,1.7934538932894935,-0.34855674071650805,-0.34891795973863815,2005
13,1027,"Clay, AL",0.6,0.58,3.4098174326916246,1.1366058108972081,-0.7250601243412439,-0.7251992178769086,2005
14,1029,"Cleburne, AL",0.52,0.6,2.2271714922048997,0.9047884187082406,-1.463317274500262,-1.463318460973867,2005
15,1031,"Coffee, AL",0.51,0.62,3.135689851767389,1.5788088764143497,-0.7786245232486806,-0.7790043274060394,2005
16,1033,"Colbert, AL",0.57,0.64,3.3297154105115987,1.674055814124616,-0.2849004985366558,-0.284720338122733,2005
17,1035,"Conecuh, AL",0.6,0.5,4.09805528649132,1.11765144177036,-0.8849770254272142,-0.8850945266785123,2005
18,1037,"Coosa, AL",0.57,0.46,3.226650388070114,0.6976541379611058,-1.6410889752220446,-1.6413376001187847,2005
19,1039,"Covington, AL",0.51,0.61,3.789915062896463,1.424578002365337,-0.8329652177924569,-0.8329299784322487,2005
20,1041,"Crenshaw, AL",0.53,0.6,3.7958975107672095,1.021972406745018,-1.0751694563304313,-1.0753079307658961,2005
21,1043,"Cullman, AL",0.58,0.64,2.3890611497992174,1.258069435266609,-0.7056527334327525,-0.7058444748973915,2005
22,1045,"Dale, AL",0.51,0.57,3.0784913353720693,1.345565749235474,-1.1302864465105473,-1.1299632564759408,2005
23,1047,"Dallas, AL",0.58,0.52,5.581311608227934,1.3053067470855653,-0.5542750843465183,-0.5545467315464947,2005
24,1049,"De Kalb, AL",0.48,0.64,2.419093135085701,1.047290320677346,-1.4128580581381842,-1.4127071889511298,2005
25,1051,"Elmore, AL",0.53,0.57,2.987201622406753,1.055112499657431,-1.2669144785063278,-1.266620261166905,2005
26,1053,"Escambia, AL",0.42,0.59,4.441371240126593,1.4893220924975399,-1.2335337661437222,-1.2333117903915272,2005
27,1055,"Etowah, AL",0.54,0.65,3.537712989706709,1.6573943047667046,-0.3982396614422464,-0.3979188631985483,2005
28,1057,"Fayette, AL",0.57,0.64,3.438713255684969,1.2201885745978924,-0.6295757610714655,-0.6295867370561847,2005
29,1059,"Franklin, AL",0.53,0.65,2.873934383880134,1.1301989150090417,-0.9742510236062752,-0.9739324153501981,2005
30,1061,"Geneva, AL",0.53,0.61,2.501154378944128,1.115899645990457,-1.167548637054851,-1.1675388068073247,2005
31,1063,"Greene, AL",0.68,0.47,4.341085271317829,0.7235142118863048,-0.8205444876110223,-0.8208397394474749,2005
32,1065,"Hale, AL",0.59,0.44,3.188545301407773,0.5414510889183011,-1.7257051995830677,-1.7254558467886647,2005
33,1067,"Henry, AL",0.58,0.57,3.2234957020057307,1.7311365807067813,-0.4199759392597569,-0.420109129001394,2005
34,1069,"Houston, AL",0.52,0.61,3.8869897660351636,1.4057058879907989,-0.7786245232486806,-0.7787386773521691,2005
35,1071,"Jackson, AL",0.49,0.62,2.4750618765469135,0.9750243756093903,-1.4695276395909793,-1.469903312844802,2005
36,1073,"Jefferson, AL",0.59,0.61,5.698414613104827,1.5834019168782705,0.02095998218117086,0.020785363821408595,2005
37,1075,"Lamar, AL",0.59,0.65,2.198680791525085,0.9327736691318542,-0.908265894517404,-0.9085143086041435,2005
38,1077,"Lauderdale, AL",0.54,0.66,3.3349000649074507,1.5219678148570916,-0.5053684592571197,-0.505593155151607,2005
39,1079,"Lawrence, AL",0.54,0.62,2.874981849862059,1.1616088282270944,-0.9882243450603891,-0.9882283872227665,2005
40,1081,"Lee, AL",0.48,0.59,3.8927164183837695,0.8641671886025069,-1.4889350304994708,-1.489241989965835,2005
41,1083,"Limestone, AL",0.55,0.68,2.257969510399282,1.037824495463024,-0.9393177199709905,-0.9393326447163305,2005
42,1085,"Lowndes, AL",0.64,0.47,4.920545293216101,0.564652738565782,-1.075945751966771,-1.0760495189560322,2005
43,1087,"Macon, AL",0.53,0.48,7.057352152939074,0.5360014293371449,-1.3383336770495764,-1.338177591393645,2005
44,1089,"Madison, AL",0.59,0.7,4.020247185495267,1.1742306135852512,-0.28101902035495746,-0.2807393782919731,2005
45,1091,"Marengo, AL",0.65,0.55,4.2653808706940515,1.9008762575919145,0.19252131781223608,0.19263995576671783,2005
46,1093,"Marion, AL",0.54,0.65,2.918606939069981,1.1477667737915656,-0.8989503468813281,-0.898739193215241,2005
47,1095,"Marshall, AL",0.49,0.64,2.4157381293633544,1.109621341717139,-1.3088344428686693,-1.3092114486986395,2005
48,1097,"Mobile, AL",0.54,0.63,4.173539010683257,1.2182221977129508,-0.7126393941598094,-0.7129328163796314,2005
49,1099,"Monroe, AL",0.55,0.52,3.8846429928640798,1.1822826500021113,-1.0751694563304313,-1.0755185309664943,2005
50,1101,"Montgomery, AL",0.55,0.63,6.739472648563558,1.5741833923652104,0.017854799635812216,0.018050287774623076,2005
51,1103,"Morgan, AL",0.55,0.67,3.474781509950511,1.3513039205363098,-0.5348676934380269,-0.5344882214802645,2005
52,1105,"Perry, AL",0.68,0.47,4.778972520908004,0.8271298593879239,-0.6714957254338072,-0.6712194181389427,2005
53,1107,"Pickens, AL",0.61,0.6,3.9619651347068143,1.386687797147385,-0.3244915759899785,-0.324486199973976,2005
54,1109,"Pike, AL",0.53,0.53,5.004549590536852,1.0724034836864682,-1.068959091239714,-1.0689320055445386,2005
55,1111,"Randolph, AL",0.53,0.58,2.1625915791331978,0.8826904404625298,-1.4990268737718866,-1.4990155106924974,2005
56,1113,"Russell, AL",0.46,0.55,2.9559027568317546,1.447789105386982,-1.4019899192294287,-1.4016389257557424,2005
57,1115,"St. Clair, AL",0.55,0.6,2.038679817069811,0.9780153176483553,-1.270795956688026,-1.2707925718016353,2005
58,1117,"Shelby, AL",0.64,0.66,2.720002795720218,1.0775171674694655,-0.410660391623681,-0.4102963748229025,2005
59,1119,"Sumter, AL",0.63,0.54,6.787810224139149,1.202008060524641,-0.11799693672362857,-0.11769019693284535,2005
60,1121,"Talladega, AL",0.49,0.57,3.2251735216932773,1.1527236161185097,-1.3701617981395027,-1.3698273945155015,2005
61,1123,"Tallapoosa, AL",0.58,0.54,3.255256137259221,1.3951097731110949,-0.7770719319760012,-0.7767656227259035,2005
62,1125,"Tuscaloosa, AL",0.54,0.59,4.56379352533133,1.2803660139645254,-0.7289416025229423,-0.7287579880582984,2005
63,1127,"Walker, AL",0.53,0.58,3.4306569343065694,1.5036496350364963,-0.8104526443386066,-0.8100952408871067,2005
64,1129,"Washington, AL",0.63,0.55,3.4482758620689653,1.3566986998304125,-0.47509292943987286,-0.4747442549016544,2005
65,1131,"Wilcox, AL",0.63,0.43,5.497615005255073,0.9701673538685424,-0.8438333567012121,-0.844074082359648,2005
66,1133,"Winston, AL",0.55,0.58,2.3549474197084734,0.852653376101344,-1.3849114152299564,-1.3847679150031798,2005
67,4001,"Apache, AZ",0.54,0.45,2.626931889493732,0.321069453160345,-2.227192180658489,-2.2275455267047057,2005
68,4003,"Cochise, AZ",0.48,0.6,4.6587060563178735,1.0096513125467064,-1.224994514143986,-1.2247302743366042,2005
69,4005,"Coconino, AZ",0.59,0.52,4.8179492225939775,0.8738437315489077,-0.9610539977885011,-0.9608417316905705,2005
70,4007,"Gila, AZ",0.54,0.52,4.723647275191172,0.8518052463459491,-1.2645855915973085,-1.2646190775938084,2005
71,4009,"Graham, AZ",0.45,0.64,3.2459652954738503,0.637058609392064,-1.7761644159451457,-1.7759107918897123,2005
72,4011,"Greenlee, AZ",0.58,0.56,4.871626069782752,1.184990125082291,-0.6342335348895035,-0.6339952857593293,2005
73,4012,"La Paz, AZ",0.32,0.32,4.465381029491143,0.6869816968447912,-3.2565601944448805,-3.256852433847706,2005
74,4013,"Maricopa, AZ",0.47,0.65,2.872007477843949,0.563437909368441,-1.7520992512186162,-1.75185538681617,2005
75,4015,"Mohave, AZ",0.42,0.6,2.998310139691587,0.5986025543907233,-2.1324841130250505,-2.1326592467371555,2005
76,4017,"Navajo, AZ",0.45,0.43,3.3402441833678878,0.8254626430162021,-2.268335849384491,-2.268215434209634,2005
77,4019,"Pima, AZ",0.54,0.67,3.75639195130273,0.6313172472394811,-1.119418307601792,-1.119266279016148,2005
78,4021,"Pinal, AZ",0.39,0.52,2.02793286608855,0.47940672357323466,-2.789230221368404,-2.7895479024683527,2005
79,4023,"Santa Cruz, AZ",0.42,0.58,3.887246572472708,0.6052000651753917,-2.0540782537547444,-2.05378845506216,2005
80,4025,"Yavapai, AZ",0.57,0.62,5.15289831341084,0.80338136564598,-0.761546019249208,-0.7615970187312782,2005
81,4027,"Yuma, AZ",0.31,0.55,2.108312455261274,0.4697566213314245,-3.1261425275398174,-3.125929646829246,2005
82,5001,"Arkansas, AR",0.46,0.65,7.066252380475093,1.8041495439510875,-0.1754428138127635,-0.1753349496268889,2005
83,5003,"Ashley, AR",0.49,0.65,4.567413263065437,1.5371102327624067,-0.607839483253955,-0.6077823639371596,2005
84,5005,"Baxter, AR",0.57,0.7,4.250850170034007,1.175235047009402,-0.35321451453454605,-0.3533247075954532,2005
85,5007,"Benton, AR",0.52,0.62,3.1913298635652936,0.920987812975219,-1.2405204268707792,-1.2401644317568412,2005
86,5009,"Boone, AR",0.54,0.68,6.283106052068072,1.4087681731094333,-0.08151104181566446,-0.08159791673682198,2005
87,5011,"Bradley, AR",0.45,0.61,5.244755244755244,1.7482517482517481,-0.6784823861608642,-0.6783549945642697,2005
88,5013,"Calhoun, AR",0.54,0.59,3.3480176211453747,0.881057268722467,-1.2327574705073825,-1.2330955237915917,2005
89,5015,"Carroll, AR",0.52,0.64,4.84206544354076,1.4374881785511633,-0.5131314156205163,-0.513284374936883,2005
90,5017,"Chicot, AR",0.49,0.58,4.870767538691178,1.4140938015555033,-0.8779903647001572,-0.8782564821816944,2005
91,5019,"Clark, AR",0.51,0.6,6.842105263157895,2.06140350877193,0.11101027599657161,0.11065109612325538,2005
92,5021,"Clay, AR",0.47,0.66,3.6331149493746278,1.5485407980941037,-0.818991896338343,-0.8192281737526974,2005
93,5023,"Cleburne, AR",0.59,0.59,4.1544670412281395,1.7013531692648571,-0.1839820658124998,-0.1843149129356142,2005
94,5025,"Cleveland, AR",0.53,0.62,3.499266282876171,1.24167513263348,-0.8834244341545349,-0.8831701525695913,2005
95,5027,"Columbia, AR",0.52,0.61,5.034965034965035,1.3586413586413588,-0.6404438999802208,-0.6403803126339088,2005
96,5029,"Conway, AR",0.52,0.67,4.158004158004158,0.870279940047382,-0.9758036148789545,-0.9760916743212752,2005
97,5031,"Craighead, AR",0.46,0.67,3.588079349117835,1.1655544382484688,-1.1543516112370766,-1.1543015899524045,2005
98,5033,"Crawford, AR",0.49,0.67,3.3403139548971077,0.9519029405147198,-1.1993767581447772,-1.1993906860725179,2005
99,5035,"Crittenden, AR",0.43,0.55,3.5825173155003585,0.9752408247750975,-1.8452547275793756,-1.8451618478834964,2005
100,5037,"Cross, AR",0.5,0.67,3.4422496425356144,1.694645977863687,-0.5379728759833855,-0.537731214648878,2005
101,5039,"Dallas, AR",0.52,0.61,5.588543485853999,1.5135638607521247,-0.43239666944119154,-0.43216551929468505,2005
102,5041,"Desha, AR",0.44,0.61,7.0754716981132075,1.786735277301315,-0.4215285305324362,-0.4216168496898615,2005
103,5043,"Drew, AR",0.45,0.64,4.995165968417661,1.3964980126759052,-0.9028318250630264,-0.9029712286238814,2005
104,5045,"Faulkner, AR",0.51,0.64,3.2361480764577792,1.028308734575369,-1.139601994146623,-1.1396036180308327,2005
105,5047,"Franklin, AR",0.53,0.61,3.651856360316494,1.2172854534388313,-0.9105947814264231,-0.9105031386251131,2005
106,5049,"Fulton, AR",0.53,0.63,3.463346252164591,0.9895275006184546,-1.0580909523309587,-1.0582624172413584,2005
107,5051,"Garland, AR",0.55,0.61,4.625608061153579,1.4332870048644892,-0.48052699889425055,-0.4805572052581844,2005
108,5053,"Grant, AR",0.52,0.72,3.305497564370216,1.1598237067965669,-0.7196260548868663,-0.7196342327264773,2005
109,5055,"Greene, AR",0.48,0.72,2.2980378292381123,1.2879113108916893,-0.9890006406967288,-0.9893429607981237,2005
