,fips,area,assn,nccs,respn,pvote,sk,pc1,year
0,1001,"Autauga, AL",1.0519548828239145,18.755,0.65,0.4833775493284695,-0.4742566921910894,-1.108387004273762,1990
0,1001,"Autauga, AL",1.1882244531742567,2.2794509918036763,0.63,0.559864,-0.6846493073423503,-0.6077699363422558,1997
0,1001,"Autauga, AL",1.1876962718415331,2.878653675819309,0.63,0.58,-0.7180734636141869,-0.7181858377566387,2005
0,1001,"Autauga, AL",1.3484806502262865,3.3619654567285493,0.78,0.6356475,-0.3267297329518512,-0.3267664790732824,2009
0,1001,"Autauga, AL",1.3745704467353952,2.839573159703382,0.78,0.644955609362389,-0.631003349820884,-0.6310747900539663,2014
1,1003,"Baldwin, AL",1.2922262922262922,26.9755,0.65,0.4893397665883129,-0.1951870143323552,-0.7013506931477402,1990
1,1003,"Baldwin, AL",1.3751882240865372,3.103776773915983,0.54,0.528056,-0.7399664059449524,-0.7086649130524612,1997
1,1003,"Baldwin, AL",1.276335990825179,3.6255341188657257,0.54,0.57,-0.8686748170640813,-0.8690185457914428,2005
1,1003,"Baldwin, AL",1.2262689096239814,4.108000847240337,0.73,0.6089959,-0.422958352930821,-0.4230963528026056,2009
1,1003,"Baldwin, AL",1.156659806822791,3.5951590532414017,0.73,0.6747354048443999,-0.5553960055534322,-0.5556994062136738,2014
2,1005,"Barbour, AL",0.6688436872959043,34.5457,0.6,0.4957388737258397,-0.7675124432456072,-0.971752194251447,1990
2,1005,"Barbour, AL",0.8094316382192505,3.5896533521027627,0.54,0.482278,-1.3885393446334315,-1.358385111885953,1997
2,1005,"Barbour, AL",0.9276768830056732,3.8891069326007055,0.54,0.5,-1.4866061435904518,-1.4868803585730987,2005
2,1005,"Barbour, AL",0.8677730773402755,3.868821636475395,0.63,0.5124251,-1.1965171042346332,-1.1963451551703623,2009
2,1005,"Barbour, AL",0.8204363229535707,3.430915532351296,0.63,0.6650306039958425,-0.8910360852453917,-0.8907218813270733,2014
3,1007,"Bibb, AL",0.90492277992278,21.2694,0.67,0.4367308834761945,-0.4466308859035713,-1.4385117459513268,1990
3,1007,"Bibb, AL",1.4957705797400451,2.2694450175366203,0.51,0.501432,-1.0582401471802136,-1.0026020797375272,1997
